instance_id,status,wall_time_s,rc,construction,seed
pb_cnn_32,UNSAT,0.158406,0,cnn.cnn_paired_bias,0
pb_cnn_33,UNSAT,0.134918,0,cnn.cnn_paired_bias,0
pb_cnn_34,UNSAT,0.202320,0,cnn.cnn_paired_bias,0
pb_cnn_35,UNSAT,0.093700,0,cnn.cnn_paired_bias,1
pb_cnn_36,UNSAT,0.135069,0,cnn.cnn_paired_bias,1
pb_cnn_37,UNSAT,0.130320,0,cnn.cnn_paired_bias,1
pb_cnn_38,UNSAT,0.150165,0,cnn.cnn_paired_bias,1
pb_cnn_39,UNSAT,0.113807,0,cnn.cnn_paired_bias,0
pb_cnn_40,TIMEOUT,600.073075,124,cnn.cnn_paired_bias,0
pb_cnn_41,TIMEOUT,600.272988,124,cnn.cnn_paired_bias,0
pb_cnn_42,TIMEOUT,600.493690,124,cnn.cnn_paired_bias,0
pb_cnn_43,UNSAT,0.187667,0,cnn.cnn_paired_bias,1
pb_cnn_44,TIMEOUT,600.097220,124,cnn.cnn_paired_bias,1
pb_cnn_45,TIMEOUT,600.268656,124,cnn.cnn_paired_bias,1
pb_cnn_46,TIMEOUT,600.501076,124,cnn.cnn_paired_bias,1
ld1,ERROR,0.228369,-6,attention.linear_dominance,1
ld2,ERROR,0.137738,-6,attention.linear_dominance,1
ld3,ERROR,0.138139,-6,attention.linear_dominance,1
ld4,ERROR,0.139237,-6,attention.linear_dominance,2
ld5,ERROR,0.137427,-6,attention.linear_dominance,2
ld6,ERROR,0.137657,-6,attention.linear_dominance,2
ld7,ERROR,0.136313,-6,attention.linear_dominance,3
ld8,ERROR,0.138886,-6,attention.linear_dominance,3
ld9,ERROR,0.139711,-6,attention.linear_dominance,3
ld10,ERROR,0.137944,-6,attention.linear_dominance,4
ld11,ERROR,0.136259,-6,attention.linear_dominance,4
ld12,ERROR,0.137419,-6,attention.linear_dominance,4
ld13,ERROR,0.135910,-6,attention.linear_dominance,5
ld14,ERROR,0.137460,-6,attention.linear_dominance,5
ld15,ERROR,0.134819,-6,attention.linear_dominance,5
ld16,ERROR,0.140644,-6,attention.linear_dominance,6
ld17,ERROR,0.139824,-6,attention.linear_dominance,6
ld18,ERROR,0.135314,-6,attention.linear_dominance,6
fp1,ERROR,0.009723,1,attention.fixed_pattern,1
fp2,ERROR,0.005953,1,attention.fixed_pattern,1
fp3,ERROR,0.008641,1,attention.fixed_pattern,1
fp4,ERROR,0.005871,1,attention.fixed_pattern,2
fp5,ERROR,0.005867,1,attention.fixed_pattern,2
fp6,ERROR,0.005660,1,attention.fixed_pattern,2
fp7,ERROR,0.006671,1,attention.fixed_pattern,3
fp8,ERROR,0.006049,1,attention.fixed_pattern,3
fp9,ERROR,0.006568,1,attention.fixed_pattern,3
fp10,ERROR,0.005746,1,attention.fixed_pattern,4
fp11,ERROR,0.005894,1,attention.fixed_pattern,4
fp12,ERROR,0.005936,1,attention.fixed_pattern,4
fp13,ERROR,0.006877,1,attention.fixed_pattern,5
fp14,ERROR,0.006164,1,attention.fixed_pattern,5
fp15,ERROR,0.006003,1,attention.fixed_pattern,5
