verifier,scenario,feature,std_coef,odds_ratio,nonzero_freq,sign_consistency,median_coef
marabou,combined,input_dim,-0.08896792089751177,0.9148749214700922,0.9666666666666667,0.6379310344827587,-0.6767979031549309
marabou,combined,output_dim,0.6519719073443613,1.9193218247044637,1.0,0.5666666666666667,-0.3393449833439265
marabou,combined,n_param_total,2.6248820989330675,13.802946707984594,0.9666666666666667,0.9482758620689655,1.6834007022954984
marabou,combined,n_nodes,-1.663666958636448,0.18944302512521863,0.9833333333333333,1.0,-1.4539246014463014
marabou,combined,n_gemm_matmul,-6.1995952660786875,0.002030252181957678,0.9666666666666667,1.0,-3.871045737385744
marabou,combined,n_conv,-0.18677978655666574,0.8296264111596277,0.75,0.5777777777777777,0.0
marabou,combined,n_relu,0.2642595052873116,1.3024661493009904,0.9666666666666667,0.6724137931034483,-0.5223066337973715
marabou,combined,n_add,4.756501854471519,116.33824513938428,1.0,1.0,3.969522280139759
marabou,combined,n_mul,0.0,1.0,0.0,0.0,0.0
marabou,combined,n_softmax,0.0,1.0,0.0,0.0,0.0
marabou,combined,n_pow,0.0,1.0,0.0,0.0,0.0
marabou,combined,graph_depth,-1.8596544092974527,0.15572643867898403,1.0,1.0,-1.6664460510013668
marabou,combined,n_hidden_layers,0.2642595052873116,1.3024661493009904,0.9666666666666667,0.6724137931034483,-0.5223066337973715
marabou,combined,max_hidden_width,0.0,1.0,1.0,0.8,2.2719203795771783
marabou,combined,onnx_file_bytes,0.9509545618727614,2.5881790575798687,0.9,0.9259259259259259,1.0406842613142455
marabou,combined,arch_MLP,0.6428067177987526,1.9018112428577851,0.95,0.543859649122807,0.0030535535710712377
marabou,combined,arch_CNN,-0.6428067177987526,0.5258145379860806,0.95,0.543859649122807,-0.0030535535710712377
marabou,combined,arch_ATTENTION,0.0,1.0,0.0,0.0,0.0
marabou,combined,arch_POLYNOMIAL,0.0,1.0,0.0,0.0,0.0
marabou,combined,arch_HYBRID,0.0,1.0,0.0,0.0,0.0
marabou,combined,arch_OTHER,0.0,1.0,0.0,0.0,0.0
marabou,combined,has_conv,-0.6428067177987526,0.5258145379860806,0.95,0.543859649122807,-0.0030535535710712377
marabou,combined,has_softmax,0.0,1.0,0.0,0.0,0.0
marabou,combined,has_add_residual,0.5765216568711827,1.7798367682544929,1.0,0.85,1.778118242547742
marabou,combined,has_pow,0.0,1.0,0.0,0.0,0.0
marabou,combined,margin_hat_min,0.5181627659452763,1.6789402082645986,1.0,0.9,0.8748407553658
marabou,combined,g_ibp,4.129011347463896,62.116480950952855,1.0,1.0,5.322789000957224
marabou,combined,unstable_fraction,2.349656305944212,10.48196651597782,1.0,1.0,2.893045743447318
marabou,combined,a_tau,0.1700558852437995,1.1853710942219413,0.9833333333333333,0.576271186440678,-0.24477604018168603
marabou,combined,d_eff,-0.9050846089600794,0.404507658682763,0.9666666666666667,0.6206896551724138,0.7406381087176328
nnenum,synthetic,input_dim,1.0769104151873512,2.9355957536535042,1.0,0.9,0.891310998408688
nnenum,synthetic,output_dim,0.7823511946686917,2.1866073659034684,1.0,1.0,0.8094987815416601
nnenum,synthetic,n_param_total,1.2846538119612387,3.6134168189836067,1.0,0.9,1.1342414061431525
nnenum,synthetic,n_nodes,-0.7686241764308012,0.4636505310210141,1.0,0.9666666666666667,-0.6946479535154015
nnenum,synthetic,n_gemm_matmul,-0.7823511946686827,0.457329475603786,1.0,1.0,-0.8094987815416717
