instance_id,benchmark,domain,constructor,network_group,feat_source,margin_hat_min,g_ibp,unstable_fraction,a_tau,d_eff,profile_missing_ct,input_dim,output_dim,n_param_total,n_nodes,n_gemm_matmul,n_conv,n_relu,n_add,n_mul,n_softmax,n_pow,graph_depth,n_hidden_layers,max_hidden_width,onnx_file_bytes,arch_MLP,arch_CNN,arch_ATTENTION,arch_POLYNOMIAL,arch_HYBRID,arch_OTHER,has_conv,has_softmax,has_add_residual,has_pow,arch_type,size_missing_ct,verifier,raw_status,raw_time,raw_outcome,budget_s
meap6,sweep_all,synthetic,MEAP,sweep_all::meap6,onnx,0.0010000000474974513,645.0449640723831,0.9523809523809523,3.58351893845611,63.80700695860285,0,100,10,5306,33,17,0,6,10,0,0,0,27,6,32,27506.0,1,0,0,0,0,0,0,0,1,0,MLP,0,marabou,TIMEOUT,600.0112814903259,timeout,600.0
meap6,sweep_all,synthetic,MEAP,sweep_all::meap6,onnx,0.0010000000474974513,645.0449640723831,0.9523809523809523,3.58351893845611,63.80700695860285,0,100,10,5306,33,17,0,6,10,0,0,0,27,6,32,27506.0,1,0,0,0,0,0,0,0,1,0,MLP,0,nnenum,ERROR,1.3854913711547852,error,600.0
meap6,sweep_all,synthetic,MEAP,sweep_all::meap6,onnx,0.0010000000474974513,645.0449640723831,0.9523809523809523,3.58351893845611,63.80700695860285,0,100,10,5306,33,17,0,6,10,0,0,0,27,6,32,27506.0,1,0,0,0,0,0,0,0,1,0,MLP,0,pyrat,UNSAT,6.367302894592285,solved,600.0
meap7,sweep_all,synthetic,MEAP,sweep_all::meap7,onnx,0.0010000000474974513,630.999905072594,1.0,3.5263605246161616,63.532074052345926,0,100,10,5306,33,17,0,6,10,0,0,0,27,6,32,27506.0,1,0,0,0,0,0,0,0,1,0,MLP,0,abcrown,UNSAT,30.905230045318604,solved,600.0
meap7,sweep_all,synthetic,MEAP,sweep_all::meap7,onnx,0.0010000000474974513,630.999905072594,1.0,3.5263605246161616,63.532074052345926,0,100,10,5306,33,17,0,6,10,0,0,0,27,6,32,27506.0,1,0,0,0,0,0,0,0,1,0,MLP,0,neuralsat,TIMEOUT,600.7549254894257,timeout,600.0
meap7,sweep_all,synthetic,MEAP,sweep_all::meap7,onnx,0.0010000000474974513,630.999905072594,1.0,3.5263605246161616,63.532074052345926,0,100,10,5306,33,17,0,6,10,0,0,0,27,6,32,27506.0,1,0,0,0,0,0,0,0,1,0,MLP,0,marabou,TIMEOUT,600.0152721405029,timeout,600.0
meap7,sweep_all,synthetic,MEAP,sweep_all::meap7,onnx,0.0010000000474974513,630.999905072594,1.0,3.5263605246161616,63.532074052345926,0,100,10,5306,33,17,0,6,10,0,0,0,27,6,32,27506.0,1,0,0,0,0,0,0,0,1,0,MLP,0,nnenum,ERROR,1.3856544494628906,error,600.0
meap7,sweep_all,synthetic,MEAP,sweep_all::meap7,onnx,0.0010000000474974513,630.999905072594,1.0,3.5263605246161616,63.532074052345926,0,100,10,5306,33,17,0,6,10,0,0,0,27,6,32,27506.0,1,0,0,0,0,0,0,0,1,0,MLP,0,pyrat,UNSAT,7.119868993759155,solved,600.0
meap8,sweep_all,synthetic,MEAP,sweep_all::meap8,onnx,0.0010000000474974513,630.999905072594,1.0,3.4657359027997265,63.27714266667052,0,100,10,5306,33,17,0,6,10,0,0,0,27,6,32,27506.0,1,0,0,0,0,0,0,0,1,0,MLP,0,abcrown,UNSAT,34.913395166397095,solved,600.0
meap8,sweep_all,synthetic,MEAP,sweep_all::meap8,onnx,0.0010000000474974513,630.999905072594,1.0,3.4657359027997265,63.27714266667052,0,100,10,5306,33,17,0,6,10,0,0,0,27,6,32,27506.0,1,0,0,0,0,0,0,0,1,0,MLP,0,neuralsat,UNSAT,498.1071093082428,solved,600.0
meap8,sweep_all,synthetic,MEAP,sweep_all::meap8,onnx,0.0010000000474974513,630.999905072594,1.0,3.4657359027997265,63.27714266667052,0,100,10,5306,33,17,0,6,10,0,0,0,27,6,32,27506.0,1,0,0,0,0,0,0,0,1,0,MLP,0,marabou,TIMEOUT,600.0074191093445,timeout,600.0
meap8,sweep_all,synthetic,MEAP,sweep_all::meap8,onnx,0.0010000000474974513,630.999905072594,1.0,3.4657359027997265,63.27714266667052,0,100,10,5306,33,17,0,6,10,0,0,0,27,6,32,27506.0,1,0,0,0,0,0,0,0,1,0,MLP,0,nnenum,ERROR,1.3506369590759277,error,600.0
meap8,sweep_all,synthetic,MEAP,sweep_all::meap8,onnx,0.0010000000474974513,630.999905072594,1.0,3.4657359027997265,63.27714266667052,0,100,10,5306,33,17,0,6,10,0,0,0,27,6,32,27506.0,1,0,0,0,0,0,0,0,1,0,MLP,0,pyrat,UNSAT,7.322766304016113,solved,600.0
meap9,sweep_all,synthetic,MEAP,sweep_all::meap9,onnx,0.0010000000474974513,645.0449640723831,0.9523809523809523,3.5553480614894135,63.7356139149746,0,100,10,5306,33,17,0,6,10,0,0,0,27,6,32,27506.0,1,0,0,0,0,0,0,0,1,0,MLP,0,abcrown,UNSAT,26.23263168334961,solved,600.0
meap9,sweep_all,synthetic,MEAP,sweep_all::meap9,onnx,0.0010000000474974513,645.0449640723831,0.9523809523809523,3.5553480614894135,63.7356139149746,0,100,10,5306,33,17,0,6,10,0,0,0,27,6,32,27506.0,1,0,0,0,0,0,0,0,1,0,MLP,0,neuralsat,UNSAT,491.7003083229065,solved,600.0
meap9,sweep_all,synthetic,MEAP,sweep_all::meap9,onnx,0.0010000000474974513,645.0449640723831,0.9523809523809523,3.5553480614894135,63.7356139149746,0,100,10,5306,33,17,0,6,10,0,0,0,27,6,32,27506.0,1,0,0,0,0,0,0,0,1,0,MLP,0,marabou,TIMEOUT,600.009560585022,timeout,600.0
meap9,sweep_all,synthetic,MEAP,sweep_all::meap9,onnx,0.0010000000474974513,645.0449640723831,0.9523809523809523,3.5553480614894135,63.7356139149746,0,100,10,5306,33,17,0,6,10,0,0,0,27,6,32,27506.0,1,0,0,0,0,0,0,0,1,0,MLP,0,nnenum,ERROR,1.3235819339752197,error,600.0
meap9,sweep_all,synthetic,MEAP,sweep_all::meap9,onnx,0.0010000000474974513,645.0449640723831,0.9523809523809523,3.5553480614894135,63.7356139149746,0,100,10,5306,33,17,0,6,10,0,0,0,27,6,32,27506.0,1,0,0,0,0,0,0,0,1,0,MLP,0,pyrat,UNSAT,7.554126977920532,solved,600.0
meap10,sweep_all,synthetic,MEAP,sweep_all::meap10,onnx,9.999999747378752e-05,645.0449604239334,0.9523809523809523,3.58351893845611,63.467704338576624,0,100,10,5306,33,17,0,6,10,0,0,0,27,6,32,27506.0,1,0,0,0,0,0,0,0,1,0,MLP,0,abcrown,UNSAT,24.599721431732178,solved,600.0
meap10,sweep_all,synthetic,MEAP,sweep_all::meap10,onnx,9.999999747378752e-05,645.0449604239334,0.9523809523809523,3.58351893845611,63.467704338576624,0,100,10,5306,33,17,0,6,10,0,0,0,27,6,32,27506.0,1,0,0,0,0,0,0,0,1,0,MLP,0,neuralsat,UNSAT,488.29221963882446,solved,600.0
meap10,sweep_all,synthetic,MEAP,sweep_all::meap10,onnx,9.999999747378752e-05,645.0449604239334,0.9523809523809523,3.58351893845611,63.467704338576624,0,100,10,5306,33,17,0,6,10,0,0,0,27,6,32,27506.0,1,0,0,0,0,0,0,0,1,0,MLP,0,marabou,TIMEOUT,600.0079798698425,timeout,600.0
meap10,sweep_all,synthetic,MEAP,sweep_all::meap10,onnx,9.999999747378752e-05,645.0449604239334,0.9523809523809523,3.58351893845611,63.467704338576624,0,100,10,5306,33,17,0,6,10,0,0,0,27,6,32,27506.0,1,0,0,0,0,0,0,0,1,0,MLP,0,nnenum,ERROR,1.2946593761444092,error,600.0
meap10,sweep_all,synthetic,MEAP,sweep_all::meap10,onnx,9.999999747378752e-05,645.0449604239334,0.9523809523809523,3.58351893845611,63.467704338576624,0,100,10,5306,33,17,0,6,10,0,0,0,27,6,32,27506.0,1,0,0,0,0,0,0,0,1,0,MLP,0,pyrat,UNSAT,7.148808002471924,solved,600.0
meap11,sweep_all,synthetic,MEAP,sweep_all::meap11,onnx,9.999999747378752e-06,645.0449023698914,0.9523809523809523,3.6635616461296463,63.52820945876017,0,100,10,5306,33,17,0,6,10,0,0,0,27,6,32,27506.0,1,0,0,0,0,0,0,0,1,0,MLP,0,abcrown,UNSAT,28.774168491363525,solved,600.0
meap11,sweep_all,synthetic,MEAP,sweep_all::meap11,onnx,9.999999747378752e-06,645.0449023698914,0.9523809523809523,3.6635616461296463,63.52820945876017,0,100,10,5306,33,17,0,6,10,0,0,0,27,6,32,27506.0,1,0,0,0,0,0,0,0,1,0,MLP,0,neuralsat,TIMEOUT,600.7686212062836,timeout,600.0
meap11,sweep_all,synthetic,MEAP,sweep_all::meap11,onnx,9.999999747378752e-06,645.0449023698914,0.9523809523809523,3.6635616461296463,63.52820945876017,0,100,10,5306,33,17,0,6,10,0,0,0,27,6,32,27506.0,1,0,0,0,0,0,0,0,1,0,MLP,0,marabou,SAT,0.14344143867492676,counterexample,600.0
meap11,sweep_all,synthetic,MEAP,sweep_all::meap11,onnx,9.999999747378752e-06,645.0449023698914,0.9523809523809523,3.6635616461296463,63.52820945876017,0,100,10,5306,33,17,0,6,10,0,0,0,27,6,32,27506.0,1,0,0,0,0,0,0,0,1,0,MLP,0,nnenum,ERROR,1.3241431713104248,error,600.0
meap11,sweep_all,synthetic,MEAP,sweep_all::meap11,onnx,9.999999747378752e-06,645.0449023698914,0.9523809523809523,3.6635616461296463,63.52820945876017,0,100,10,5306,33,17,0,6,10,0,0,0,27,6,32,27506.0,1,0,0,0,0,0,0,0,1,0,MLP,0,pyrat,UNSAT,7.36923885345459,solved,600.0
meap12,sweep_all,synthetic,MEAP,sweep_all::meap12,onnx,1.0,645.0449829095112,0.9523809523809523,3.58351893845611,63.43706717714754,0,100,10,5306,33,17,0,6,10,0,0,0,27,6,32,27506.0,1,0,0,0,0,0,0,0,1,0,MLP,0,abcrown,UNSAT,25.734852075576782,solved,600.0
