Running analysis with 1 processes, domains = ['poly'], scorer = CoefScorer, timemout = 600

Safe_volume: 0.0000% |                              | Time: 01:56 s, Done: 106, Remaining: 107
Safe_volume: 0.0000% |                              | Time: 01:56 s, Done: 107, Remaining: 108
Safe_volume: 0.0000% |                              | Time: 01:57 s, Done: 107, Remaining: 108
Safe_volume: 0.0000% |                              | Time: 01:57 s, Done: 108, Remaining: 109
Safe_volume: 0.0000% |                              | Time: 01:58 s, Done: 108, Remaining: 109
Safe_volume: 0.0000% |                              | Time: 01:58 s, Done: 109, Remaining: 110
Safe_volume: 0.0000% |                              | Time: 01:59 s, Done: 109, Remaining: 110
Safe_volume: 0.0000% |                              | Time: 01:59 s, Done: 110, Remaining: 111
Safe_volume: 0.0000% |                              | Time: 02:00 s, Done: 110, Remaining: 111
Safe_volume: 0.0000% |                              | Time: 02:00 s, Done: 111, Remaining: 112
Safe_volume: 0.0000% |                              | Time: 02:01 s, Done: 111, Remaining: 112
Safe_volume: 0.0000% |                              | Time: 02:01 s, Done: 112, Remaining: 113
Safe_volume: 0.0000% |                              | Time: 02:02 s, Done: 112, Remaining: 113
Safe_volume: 0.0000% |                              | Time: 02:02 s, Done: 113, Remaining: 114
Safe_volume: 0.0000% |                              | Time: 02:03 s, Done: 113, Remaining: 114
Safe_volume: 0.0000% |                              | Time: 02:03 s, Done: 114, Remaining: 115
Safe_volume: 0.0000% |                              | Time: 02:04 s, Done: 114, Remaining: 115
Safe_volume: 0.0000% |                              | Time: 02:04 s, Done: 115, Remaining: 116
Safe_volume: 0.0000% |                              | Time: 02:05 s, Done: 115, Remaining: 116
Safe_volume: 0.0000% |                              | Time: 02:05 s, Done: 116, Remaining: 117
Safe_volume: 0.0000% |                              | Time: 02:06 s, Done: 116, Remaining: 117
Safe_volume: 0.0000% |                              | Time: 02:06 s, Done: 117, Remaining: 118
Safe_volume: 0.0000% |                              | Time: 02:07 s, Done: 117, Remaining: 118
Safe_volume: 0.0000% |                              | Time: 02:07 s, Done: 118, Remaining: 119
Safe_volume: 0.0000% |                              | Time: 02:09 s, Done: 118, Remaining: 119
Safe_volume: 0.0000% |                              | Time: 02:09 s, Done: 119, Remaining: 120
Safe_volume: 0.0000% |                              | Time: 02:10 s, Done: 119, Remaining: 120
Safe_volume: 0.0000% |                              | Time: 02:10 s, Done: 120, Remaining: 121
Safe_volume: 0.0000% |                              | Time: 02:11 s, Done: 120, Remaining: 121
Safe_volume: 0.0000% |                              | Time: 02:11 s, Done: 121, Remaining: 122
Safe_volume: 0.0000% |                              | Time: 02:12 s, Done: 121, Remaining: 122
Safe_volume: 0.0000% |                              | Time: 02:12 s, Done: 122, Remaining: 123
Safe_volume: 0.0000% |                              | Time: 02:13 s, Done: 122, Remaining: 123
Safe_volume: 0.0000% |                              | Time: 02:13 s, Done: 123, Remaining: 124
Safe_volume: 0.0000% |                              | Time: 02:14 s, Done: 123, Remaining: 124
Safe_volume: 0.0000% |                              | Time: 02:14 s, Done: 124, Remaining: 125
Safe_volume: 0.0000% |                              | Time: 02:15 s, Done: 124, Remaining: 125
Safe_volume: 0.0000% |                              | Time: 02:15 s, Done: 125, Remaining: 126
Safe_volume: 0.0000% |                              | Time: 02:16 s, Done: 125, Remaining: 126
Safe_volume: 0.0000% |                              | Time: 02:16 s, Done: 126, Remaining: 127
